Assignment,,,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?,?-?
w1,,,129.278,119.343,123.25,121.845,118.769,110.36,121.394,122.202,115.427,121.011,112.214,120.574,123.218,116.309,112.824,111.468,120.02,123.684,120.37,119.729,126.602,122.866,127.066,121.11,110.67,122.306,118.528,118.344,123.687,124.794,128.295,116.719,132.567,121.904,123.912,119.481,121.318,112.394,122.338,123.007,120.667,116.77,119.711,123.682,118.797,125.008,110.897,119.493,116.054,118.063,116.484,122.26,116.37,117.867,124.73,126.978,128.745,110.337,120.817,120.94,127.948,127.374,124.79,122.884,117.71,115.309,117.333,117.596,120.384,119.165,123.179,123.66,122.627,115.337,117.459,118.644,128.014,121.891,128.729,134.765,127.448,126.584,127.575,120.48,121.634,118.475,127.054,122.866,129.393,117.992,117.692,114.697,129.803,120.239,123.322,110.746,114.82,121.904,114.854,118.717,126.53,115.852,111.77,125.445,112.356,110.162,120.233,121.679,110.667,121.467,124.573,124.436,123.617,123.617
w2,,,8.925,8.297,9.0,8.778,9.541,8.877,9.367,8.651,7.375,7.993,8.369,8.386,8.793,8.739,8.077,7.984,7.127,8.571,9.155,7.616,9.378,10.151,8.393,8.856,8.715,8.685,8.086,7.53,8.275,7.682,9.555,9.105,9.547,8.822,8.415,7.359,8.487,8.264,8.445,8.555,8.611,8.486,7.542,8.338,9.969,10.502,8.232,8.88,7.506,8.438,6.783,9.124,9.12,8.756,8.544,8.136,9.252,8.484,7.638,8.763,8.826,9.667,9.119,8.1,8.356,7.727,7.213,7.187,8.23,7.801,7.541,9.102,8.179,7.911,7.847,7.39,9.782,10.34,9.335,9.213,8.468,8.642,9.284,8.035,9.428,8.733,8.775,9.097,8.073,7.834,7.327,10.075,10.007,9.381,8.945,8.965,9.556,8.117,8.009,8.836,7.981,9.269,8.774,8.388,8.635,8.136,7.785,6.958,9.522,8.647,8.394,8.72,7.998,7.998
Assignment,w1,w2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?-?,129.364,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?-?,119.296,8.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?-?,123.293,9.004,0.0,0.0,1.7349542030295694e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?-?,121.842,8.773,0.0,0.0,0.0,3.809720144610218e-141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?-?,118.794,9.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?-?,110.355,8.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?-?,121.406,9.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
